locationid,latitude,longitude,season,timestamp,species,campaign_start,campaign_end
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,5/1/2019 7:56,Procyon lotor,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,5/3/2019 1:33,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,5/3/2019 22:29,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,5/4/2019 3:17,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,5/5/2019 3:36,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,5/5/2019 12:33,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N01_LTP1,47.65483,-122.39368,Spring19,4/3/2019 18:37,Homo sapiens,3/25/2019,5/7/2019
SEWA_N01_LTP1,47.65483,-122.39368,Spring19,4/14/2019 15:18,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N01_LTP1,47.65483,-122.39368,Spring19,4/18/2019 5:58,Procyon lotor,3/25/2019,5/7/2019
SEWA_N01_LTP1,47.65483,-122.39368,Spring19,4/19/2019 6:16,Procyon lotor,3/25/2019,5/7/2019
SEWA_N01_LTP1,47.65483,-122.39368,Spring19,4/21/2019 6:31,Procyon lotor,3/25/2019,5/7/2019
SEWA_N01_LTP1,47.65483,-122.39368,Spring19,4/25/2019 5:27,Procyon lotor,3/25/2019,5/7/2019
SEWA_N01_LTP1,47.65483,-122.39368,Spring19,4/28/2019 22:49,Procyon lotor,3/25/2019,5/7/2019
SEWA_N01_LTP1,47.65483,-122.39368,Spring19,5/2/2019 12:00,Procyon lotor,3/25/2019,5/7/2019
SEWA_N01_LTP1,47.65483,-122.39368,Spring19,5/4/2019 11:34,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N01_LTP1,47.65483,-122.39368,Spring19,5/5/2019 8:43,Procyon lotor,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/6/2019 18:12,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/6/2019 18:13,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/6/2019 18:16,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/6/2019 18:44,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/6/2019 18:44,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/6/2019 18:57,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/6/2019 19:02,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 9:52,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 10:50,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 10:52,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 11:02,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 13:27,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 13:28,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 13:44,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 13:47,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 13:49,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 15:08,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 15:35,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 15:38,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 15:39,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 15:56,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 16:10,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 17:05,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 17:05,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 17:17,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 17:26,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/7/2019 19:58,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 7:18,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 7:18,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 7:51,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 8:38,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 8:38,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 12:25,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 12:26,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 13:39,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 15:27,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 15:29,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/8/2019 17:31,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/9/2019 11:52,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/9/2019 13:51,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/9/2019 15:34,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/10/2019 12:11,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/10/2019 22:21,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/11/2019 15:06,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/11/2019 17:05,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/11/2019 17:05,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/11/2019 18:05,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/12/2019 10:23,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/12/2019 13:39,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/12/2019 13:45,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/12/2019 19:54,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/12/2019 19:54,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/13/2019 0:44,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/13/2019 14:34,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/13/2019 15:12,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/13/2019 15:12,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/13/2019 18:54,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/14/2019 8:34,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/14/2019 11:09,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/14/2019 15:09,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/14/2019 15:56,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 8:11,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 10:59,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 11:04,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 11:13,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 11:46,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 12:39,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 14:42,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 16:34,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 17:50,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 17:50,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 18:29,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/15/2019 19:46,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 8:15,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 11:29,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 12:57,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 13:03,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 13:05,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 13:09,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 13:12,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 18:01,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 18:11,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 18:11,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 18:19,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 18:28,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 21:05,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/16/2019 21:05,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/17/2019 7:16,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/17/2019 7:27,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/17/2019 8:23,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/17/2019 8:23,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/17/2019 8:42,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/17/2019 9:00,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/17/2019 9:19,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/17/2019 19:45,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/18/2019 6:29,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/18/2019 13:19,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/18/2019 13:35,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/18/2019 16:56,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/18/2019 17:15,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/18/2019 18:21,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/19/2019 6:27,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/19/2019 8:03,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/19/2019 11:18,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/19/2019 11:32,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/19/2019 18:01,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/19/2019 18:01,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/20/2019 7:17,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/20/2019 11:53,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/20/2019 11:53,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/20/2019 14:23,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/20/2019 14:23,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/20/2019 14:38,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/20/2019 14:48,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/20/2019 14:48,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 6:58,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 9:52,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 9:52,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 10:06,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 10:06,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 10:44,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 14:33,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 14:33,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 14:42,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 14:43,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 14:56,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 14:56,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/21/2019 16:46,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/22/2019 6:37,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/22/2019 7:39,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/22/2019 12:47,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/22/2019 17:02,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/22/2019 19:24,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/22/2019 20:44,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/23/2019 6:47,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/23/2019 14:24,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/23/2019 14:24,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 6:46,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 13:50,Corvus brachyrhynchos,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 14:57,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 15:00,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 15:01,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 15:02,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 15:04,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 15:05,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 15:44,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 15:44,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 20:18,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/24/2019 21:22,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/25/2019 6:43,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/25/2019 7:00,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/25/2019 7:00,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/25/2019 8:08,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/26/2019 6:24,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/26/2019 6:24,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/26/2019 6:29,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/26/2019 14:58,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/26/2019 14:58,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/26/2019 16:47,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/26/2019 20:02,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/27/2019 6:46,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/27/2019 13:31,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/27/2019 13:38,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/27/2019 15:09,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/27/2019 15:15,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/27/2019 15:15,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/27/2019 21:51,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/28/2019 10:10,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/28/2019 10:10,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/28/2019 10:24,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/28/2019 11:57,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/28/2019 11:57,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/28/2019 15:09,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/28/2019 15:09,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/28/2019 20:14,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 5:11,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 5:11,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 8:11,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 8:11,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 8:25,Sciurus carolinensis,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 11:16,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 11:16,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 16:45,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 16:50,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 16:50,Canis familiaris,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 18:40,Homo sapiens,3/25/2019,5/7/2019
SEWA_N02_PHN1,47.6723,-122.3598,Spring19,4/29/2019 18:41,Homo sapiens,3/25/2019,5/7/2019
